city,timestamp,dayMean,aveMean,dayHigh,aveHigh,recHigh,dayLow,aveLow,recLow,aveHumidity,dayPrecip,avePrecip
Austin,20010101,34,49,35,62,84,32,36,24,85,0,0.07
Austin,20010102,34,49,37,62,81,30,36,16,73,0,0.08
Austin,20010103,40,49,50,62,86,30,36,17,71,0,0.08
Austin,20010104,46,49,66,62,80,27,36,15,62,0,0.08
Austin,20010105,48,49,69,62,78,28,36,14,69,0,0.08
Austin,20010106,50,49,71,62,84,30,36,20,72,0,0.08
Austin,20010107,54,49,61,62,80,48,36,12,71,0.03,0.07
Austin,20010108,48,49,59,62,81,37,36,13,60,0,0.07
Austin,20010109,42,49,60,62,84,25,36,10,62,0,0.07
Austin,20010110,46,49,50,62,86,42,36,13,83,1.02,0.07
Austin,20010111,52,49,64,62,85,39,36,14,84,0,0.07
Austin,20010112,46,49,48,62,80,44,36,12,93,0,0.07
Austin,20010113,48,49,53,62,78,42,36,18,98,0.16,0.07
Austin,20010114,46,49,60,62,79,33,36,11,83,0,0.07
Austin,20010115,46,49,55,62,78,36,36,17,76,0,0.07
Austin,20010116,48,49,51,62,82,46,36,19,92,0.05,0.08
Austin,20010117,42,49,46,62,80,39,36,21,94,0.15,0.07
Austin,20010118,38,49,39,62,83,37,36,19,91,0.42,0.08
Austin,20010119,40,49,50,62,86,30,36,14,68,0,0.08
Austin,20010120,38,49,51,62,82,25,36,15,70,0,0.07
Austin,20010121,39,49,53,62,81,25,37,17,78,0,0.07
Austin,20010122,40,49,55,62,83,26,37,20,78,0,0.08
Austin,20010123,44,49,57,62,89,30,37,18,85,0,0.07
Austin,20010124,53,49,62,62,82,44,37,14,86,0,0.07
Austin,20010125,49,50,61,62,89,37,37,19,76,0,0.07
Austin,20010126,62,50,71,62,86,52,37,24,83,0.01,0.07
Austin,20010127,54,50,61,62,84,48,37,21,96,0.19,0.08
Austin,20010128,58,50,70,62,80,46,37,18,87,0.28,0.06
Austin,20010129,54,50,66,63,85,43,37,17,66,0.44,0.07
Austin,20010130,54,50,68,63,88,37,37,0,61,0,0.06
Austin,20010131,49,50,59,63,82,39,37,-5,63,0,0.05
Austin,20010201,44,50,53,63,83,36,37,13,64,0,0.07
Austin,20010202,42,50,52,63,85,28,37,8,68,0,0.07
Austin,20010203,44,50,61,63,80,27,38,16,72,0,0.08
Austin,20010204,48,50,64,63,84,32,38,20,72,0,0.07
Austin,20010205,48,50,66,63,83,30,38,17,63,0,0.08
Austin,20010206,60,51,73,63,79,46,38,21,81,0,0.08
Austin,20010207,62,51,68,64,84,57,38,19,91,0,0.09
Austin,20010208,68,51,71,64,85,66,38,21,87,0,0.08
Austin,20010209,54,51,70,64,87,37,38,23,67,0.05,0.09
Austin,20010210,37,51,44,64,89,30,38,19,67,0,0.1
Austin,20010211,46,51,50,64,81,42,39,16,85,0.01,0.09
Austin,20010212,50,52,55,64,83,44,39,16,99,0.01,0.09
Austin,20010213,63,52,72,64,83,54,39,23,95,0.02,0.08
Austin,20010214,70,52,75,65,84,66,39,24,85,0,0.08
Austin,20010215,62,52,73,65,83,50,39,23,88,0,0.09
Austin,20010216,50,52,59,65,83,41,40,20,83,0.8,0.09
Austin,20010217,42,52,50,65,92,33,40,22,73,0,0.09
Austin,20010218,44,53,60,65,89,28,40,25,76,0,0.09
Austin,20010219,53,53,71,66,92,35,40,23,92,0,0.08
Austin,20010220,63,53,73,66,94,53,40,29,86,0,0.09
Austin,20010221,65,53,73,66,101,55,41,30,89,0,0.08
Austin,20010222,50,53,54,66,98,46,41,25,80,0,0.08
Austin,20010223,60,54,69,66,94,51,41,24,90,0.03,0.08
Austin,20010224,64,54,78,67,86,48,41,24,68,0,0.08
Austin,20010225,60,54,73,67,89,46,42,23,55,0,0.08
Austin,20010226,60,54,70,67,88,51,42,23,73,0,0.09
Austin,20010227,66,55,75,67,89,57,42,13,91,0.04,0.1
Austin,20010228,47,55,55,68,87,39,42,24,93,0.04,0.1
Austin,20010301,42,55,46,68,88,37,43,25,93,0.05,0.08
Austin,20010302,50,55,55,68,86,46,43,19,90,0.21,0.09
Austin,20010303,48,56,54,68,85,42,43,19,93,0.69,0.08
Austin,20010304,54,56,68,69,91,39,43,17,79,0,0.08
Austin,20010305,52,56,69,69,93,36,44,17,74,0,0.09
Austin,20010306,52,56,66,69,98,37,44,21,79,0,0.1
Austin,20010307,54,57,70,69,90,39,44,25,78,0,0.08
Austin,20010308,56,57,64,70,88,48,44,26,93,0.07,0.08
Austin,20010309,51,57,63,70,86,39,45,29,77,0,0.08
Austin,20010310,52,58,68,70,93,37,45,28,81,0,0.09
Austin,20010311,64,58,69,70,92,60,45,20,93,0.03,0.07
Austin,20010312,62,58,78,71,89,46,46,19,76,0.47,0.09
Austin,20010313,55,58,68,71,91,42,46,25,77,0,0.08
Austin,20010314,58,59,61,71,93,55,46,29,92,0.57,0.08
Austin,20010315,60,59,69,72,87,51,46,30,67,0,0.09
Austin,20010316,50,59,62,72,85,37,47,32,64,0,0.09
Austin,20010317,46,60,52,72,89,39,47,30,75,0.02,0.08
Austin,20010318,42,60,46,72,90,39,47,31,88,0.35,0.08
Austin,20010319,46,60,55,73,90,37,48,29,73,0,0.08
Austin,20010320,50,60,66,73,92,33,48,24,72,0,0.08
Austin,20010321,55,61,73,73,90,37,48,26,72,0,0.08
Austin,20010322,58,61,77,74,98,39,48,30,78,0,0.09
Austin,20010323,64,61,75,74,90,52,49,30,87,0,0.09
Austin,20010324,60,61,71,74,88,48,49,30,89,0.16,0.09
Austin,20010325,54,62,60,74,88,48,49,28,68,0,0.08
Austin,20010326,52,62,57,75,91,46,49,26,61,0,0.08
Austin,20010327,48,62,51,75,96,44,50,30,92,0.53,0.08
Austin,20010328,47,62,50,75,97,44,50,28,98,0.02,0.06
Austin,20010329,54,63,62,75,95,45,50,30,88,0.02,0.07
Austin,20010330,50,63,60,76,91,39,50,31,87,0,0.06
Austin,20010331,58,63,73,76,89,42,51,33,85,0,0.06
Austin,20010401,60,64,75,76,92,46,51,36,89,0,0.07
Austin,20010402,70,64,77,77,91,64,51,38,88,0,0.07
Austin,20010403,74,64,79,77,89,69,51,35,90,0,0.06
Austin,20010404,74,64,79,77,92,71,52,36,91,0,0.07
Austin,20010405,76,65,82,77,89,71,52,36,83,0,0.07
Austin,20010406,76,65,81,78,91,70,52,38,80,0,0.06
Austin,20010407,72,65,81,78,95,63,52,28,84,0,0.07
Austin,20010408,77,65,84,78,92,70,53,34,82,0,0.07
Austin,20010409,76,66,84,78,95,69,53,33,80,0,0.06
Austin,20010410,76,66,84,79,93,71,53,34,81,0,0.06
Austin,20010411,68,66,80,79,92,55,53,42,69,0.01,0.06
Austin,20010412,65,66,77,79,92,55,54,38,87,0.01,0.06
Austin,20010413,72,67,81,79,94,63,54,31,87,0.01,0.07
Austin,20010414,77,67,86,80,95,70,54,30,82,0,0.07
Austin,20010415,76,67,88,80,92,64,55,34,83,0.1,0.06
Austin,20010416,74,67,82,80,95,66,55,32,80,0,0.07
Austin,20010417,60,68,73,80,100,46,55,31,74,0.06,0.07
Austin,20010418,59,68,69,80,99,50,55,35,64,0,0.08
Austin,20010419,62,68,75,81,99,50,56,40,84,0,0.07
Austin,20010420,74,68,80,81,93,69,56,33,82,0,0.08
Austin,20010421,75,69,84,81,92,68,56,44,77,0,0.08
Austin,20010422,76,69,82,81,94,69,56,39,77,0,0.09
Austin,20010423,67,69,73,82,97,61,57,42,85,0.19,0.09
Austin,20010424,62,69,75,82,94,48,57,41,62,0.01,0.09
Austin,20010425,60,70,78,82,93,42,57,42,66,0,0.1
Austin,20010426,62,70,81,82,96,44,58,44,67,0,0.1
Austin,20010427,62,70,81,83,94,46,58,45,67,0,0.09
Austin,20010428,64,70,81,83,93,46,58,43,66,0,0.09
Austin,20010429,64,71,82,83,93,46,59,42,70,0,0.1
Austin,20010430,68,71,82,83,93,55,59,44,80,0,0.1
Austin,20010501,74,71,84,83,95,64,59,42,79,0,0.09
Austin,20010502,78,72,88,84,96,69,60,47,72,0,0.09
Austin,20010503,78,72,87,84,94,69,60,42,74,0,0.09
Austin,20010504,73,72,84,84,98,63,60,37,82,0.24,0.09
Austin,20010505,72,72,82,84,101,62,60,44,88,0.88,0.09
Austin,20010506,74,73,88,85,98,62,61,45,85,1.78,0.09
Austin,20010507,72,73,84,85,102,60,61,44,80,0,0.08
Austin,20010508,74,73,84,85,97,64,61,48,82,0.02,0.09
Austin,20010509,71,73,84,85,98,60,62,47,75,0.01,0.09
Austin,20010510,70,74,84,85,94,57,62,49,79,0,0.08
Austin,20010511,75,74,86,86,98,64,62,44,81,0,0.08
Austin,20010512,72,74,82,86,97,61,63,48,83,0,0.08
Austin,20010513,72,74,84,86,94,60,63,48,76,0,0.08
Austin,20010514,72,75,86,86,96,60,63,45,73,0,0.08
Austin,20010515,70,75,87,87,96,55,64,42,75,0,0.09
Austin,20010516,79,75,91,87,97,68,64,48,75,0,0.08
Austin,20010517,80,76,91,87,93,71,64,50,73,0,0.08
Austin,20010518,80,76,91,87,95,70,64,51,73,0,0.08
Austin,20010519,73,76,82,87,97,64,65,46,85,0,0.07
Austin,20010520,81,76,91,88,99,71,65,45,78,0,0.08
Austin,20010521,74,77,86,88,97,63,65,46,66,0,0.08
Austin,20010522,64,77,82,88,97,48,66,47,56,0,0.08
Austin,20010523,70,77,88,88,99,51,66,50,53,0,0.08
Austin,20010524,75,77,91,89,99,60,66,58,68,0.05,0.08
Austin,20010525,74,78,84,89,100,64,66,58,75,0.51,0.08
Austin,20010526,73,78,82,89,96,64,67,58,85,0.43,0.1
Austin,20010527,78,78,91,89,100,66,67,59,78,0,0.1
Austin,20010528,82,78,90,89,100,75,67,56,72,0,0.1
Austin,20010529,82,78,91,90,98,73,67,54,77,0,0.09
Austin,20010530,83,79,91,90,100,75,68,53,73,0,0.1
Austin,20010531,80,79,91,90,100,68,68,51,79,0.04,0.09
Austin,20010601,79,79,91,90,100,68,68,56,82,0.03,0.11
Austin,20010602,80,79,93,90,100,69,68,56,75,0,0.12
Austin,20010603,84,79,93,90,98,75,68,58,72,0,0.13
Austin,20010604,83,80,93,91,99,73,69,58,73,0,0.13
Austin,20010605,78,80,88,91,98,69,69,56,79,0,0.13
Austin,20010606,80,80,91,91,103,69,69,59,74,0,0.15
Austin,20010607,79,80,89,91,98,69,69,59,75,0,0.15
Austin,20010608,76,80,84,91,99,71,69,58,87,0.44,0.16
Austin,20010609,81,80,90,92,99,72,69,64,79,0,0.16
Austin,20010610,78,80,89,92,100,69,70,57,81,0,0.15
Austin,20010611,80,81,93,92,99,66,70,58,71,0,0.15
Austin,20010612,82,81,96,92,101,70,70,57,74,0,0.14
Austin,20010613,86,81,96,92,102,77,70,57,71,0,0.15
Austin,20010614,87,81,96,92,109,79,70,60,73,0,0.15
Austin,20010615,78,81,90,92,105,66,70,62,76,0.01,0.16
Austin,20010616,80,81,93,92,102,68,70,57,75,0,0.17
Austin,20010617,82,81,93,93,104,70,70,62,69,0,0.17
Austin,20010618,78,82,91,93,105,66,70,63,67,0,0.18
Austin,20010619,75,82,93,93,103,59,70,58,68,0,0.17
Austin,20010620,78,82,93,93,103,63,71,63,63,0,0.17
Austin,20010621,80,82,96,93,102,66,71,58,72,0.38,0.17
Austin,20010622,78,82,89,93,103,69,71,64,83,1.72,0.17
Austin,20010623,80,82,89,93,103,72,71,63,68,0.02,0.16
Austin,20010624,80,82,90,93,104,69,71,65,79,0.62,0.16
Austin,20010625,78,82,89,93,107,68,71,62,73,0,0.16
Austin,20010626,80,82,93,94,106,66,71,62,80,0,0.16
Austin,20010627,81,82,93,94,104,71,71,60,72,0,0.17
Austin,20010628,81,82,93,94,105,69,71,61,78,0,0.16
Austin,20010629,82,82,93,94,107,71,71,63,78,0,0.16
Austin,20010630,82,82,93,94,100,73,71,63,75,0,0.16
Austin,20010701,76,82,84,94,103,71,71,66,90,0.26,0.11
Austin,20010702,80,83,91,94,104,71,71,63,84,0.07,0.1
Austin,20010703,78,83,91,94,102,66,71,60,89,0.01,0.11
Austin,20010704,80,83,91,94,103,68,71,63,75,0,0.1
Austin,20010705,82,83,95,94,105,71,71,64,69,0,0.1
Austin,20010706,84,83,95,94,103,73,71,63,66,0,0.09
Austin,20010707,83,83,95,94,104,71,71,64,68,0,0.1
Austin,20010708,81,83,95,95,105,69,72,68,68,0,0.09
Austin,20010709,84,83,96,95,104,73,72,67,66,0,0.1
Austin,20010710,84,83,97,95,103,73,72,65,67,0,0.1
Austin,20010711,82,83,97,95,104,69,72,64,64,0,0.09
Austin,20010712,85,83,98,95,106,73,72,64,69,0,0.1
